Locales;GitHub;Discord;Discord ID

de;pxlrbt;pxlrbt;357908684904595466
de,cz;lukas-frey;_skrypt;161217141444444160
es,ca;ericmp33;ericmp;700721929622913104
my;ShaungBhone;ShaungBhone;969312193847898114
ro;niladam;emton13;516727042826305542
sv;adevade;adevade;377539985064198144
sv;tanthammar;stockholm8169;498457875568525312
nl;zepfietje;zepfietje;691587259878735952
ar;abdoredapro;abdo.redapro_29110;1305155859201921167
tr;afsakar;afsakar;802955670508142612
nl;danielvdspoel;danielvdspoel;253038558942724098
ar,fr;mahfoudfx;mahfoudfx;530517926672072724
ar;albaakr;albaakr;553514824454373388
cz,uk;uolsen;uolsen;519902972172435470
de;saeschi;saeschi;319537461350891531
fa;fsamapoor;fsamapoor;476309730244165632
fa;bezhanSalleh;bezho;740312852631388323
fa;themahdavi;themahdavi;725303815636516935
fi;zagna;zagna;465932377240371222
fr;jvkassi;jvkassi;331287032326258690
pl;kamilst96;kamilst96;1014604681521147954;
pt;saade;saadeguilherme;857673051034615848
ru;mikrosmile;mikrosmile;1006954531696947220
uk;noxoua;noxoua;1145641312297701376
sv;Syd2959;sydd3428;472503302173491202
ar;EG-Mohamed;msaidm;493723605440528394
el;chrizgx;chriz6997;1049627153874042961
sr_Cyrl,sr_Latn;cobisimo;cobisimo;725669502771265539
id;NathanaelGT;NathanaelGT;467321195688230932
cz,sk;hamrak;jhamrak;788043679054430238788043679054430238
vn;duyphuongn;phuong.n;516407653707022337
fr;yebor974;yebor974_pro;12485948395918459101248594839591845910


ar;         ;7moosman;721795285923397744
bs;         ;ameliniya;379028442089390090
da;         ;prip4309;527090737444028416
es;         ;hey.csar;386220379418656807
es;         ;hanszuy;129071959630675968
he;         ;jumbomambo;633413475762307092
id;         ;yahyaman.;636094320054763520
lv;         ;creeppork_lv;175229076582170624
nl;         ;rickdb;928680489571745802
pl;         ;ralphredd;321627563736956929;
sv;     ;maurelius7390;496175168431849482
sw;     ;ngaiza_287;817131592350302208
